store_product_id,canonical_product_id,alt_group_id,category,subcategory,product_name,brand,size,unit,pack_count,price_eur,promo_price_eur,currency,availability,store_name,city,last_updated,barcode,notes
LID-00011,CP0011,ALT0011,Dairy,Butter,Salted Butter,Bellarom,250,g,2,EUR 2.26, 1.98 ,€,OUT OF STOCK,Lidl,MILANO,2026-04-23,1528098851656,check allergen label
LID-00012,CP0012,ALT0012,Dairy,Cheese,Parmigiano Reggiano,Italiamo,200,g,2,"€1,80",,eur,available,Lidl,Milano,2026/02/13 02:07,,seasonal item
LID-00013,CP0013,ALT0013,Dairy,Cheese,Gorgonzola,Barilla ,150,g,1, 1.49 , 1.29 ,€,low stock,Lidl,Milano,2026-04-12 18:12:00,,seasonal item
LID-00014,CP0014,ALT0014,Dairy,Cheese,Ricotta 250g,Parmalat,250,g,,EUR 1.96,"€1,74",EUR,in stock,Lidl,Milan,2026/01/23 19:12,1076226838851,private label
LID-00015,CP0015,ALT0015,Bakery,Bread,Whole Wheat Bread 500g,Italiamo,500,g,6,3.03,,EUR,available,Lidl,Milan,2026-03-07 05:35:00,,check allergen label
LID-00016,CP0016,ALT0016,Bakery,Bread,Ciabatta - Cien,Cien,300,g,1,"1,63",,EUR,limited,Lidl,Milan,2026-02-13,7799799552717,promo shelf
LID-00017,CP0017,ALT0017,Bakery,Bread,Sandwich Bread,Freshona,550,g,1,EUR 2.00,EUR 1.63,EUR,available,Lidl,Milan,2026-03-21 04:30:00,0715182037788,
LID-00018,CP0018,ALT0018,Bakery,Croissants,Butter Croissant,Cien,6,pcs,1,"€2,07",,eur,OUT OF STOCK,Lidl,Milan,04-01-2026,1486528168505,private label
LID-00019,CP0019,ALT0019,Bakery,Croissants,Chocolate Croissant,W5,6,pcs,, 2.27 ,"€1,67",eur,low stock,Lidl,Milan,2026-04-08 01:11:00,2706537947383,limited edition
LID-00020,CP0020,ALT0020,Bakery,Cookies,Chocolate Chip Cookies - Lavazza,Lavazza,300,g,8, 3.20 ,,EUR,,Lidl,milan,2026-02-20 20:15:00,4124782613750,limited edition
LID-00021,CP0021,ALT0021,Bakery,Cookies,Digestive Biscuits,W5,400,g,1,EUR 3.30,,eur,,Lidl,Milano,2026/01/06 21:59,2898614341036,private label
LID-00022,CP0022,ALT0022,Produce,tomatoes, Sondey Cherry Tomatoes,Sondey,500,g,2, 2.75 ,2.28,EUR,available,Lidl,Milano,2026/02/09 11:37,5153195205852,seasonal item
LID-00023,CP0023,ALT0023,Produce,TOMATOES,Round Tomatoes 1kg,Sondey,1,kg,8,"€3,22",EUR 2.88,€,in stock,Lidl,Milan,2026-03-26,5415667652775,
LID-00024,CP0024,ALT0024,Produce,Salad,Iceberg Lettuce,Bellarom,1,pcs,1,"3,04",2.59,Euro,in stock,Lidl,milan,2026-02-12,,promo shelf
LID-00025,CP0025,ALT0025,Produce,Salad,Rocket Salad - Cien,Cien,125,g,,"1,73",,Euro,OUT OF STOCK,Lidl,Milano,2026/02/17 19:27,4310278681447,
LID-00026,CP0026,ALT0026,Produce,Apples,Golden Apples,Ferrero,1,kg,1,3.64,2.67,€,OUT OF STOCK,Lidl,Milan,20/01/2026,3237058957829,imported
LID-00027,CP0027,ALT0027,Produce,apples,Pink Lady Apples,Milbona,1,kg,6,"€3,01",,eur,limited,Lidl,Milano,15/01/2026,2535841438424,check allergen label
LID-00028,CP0028,ALT0028,Produce,Bananas,Bananas - Milbona,Milbona,1,kg,4,"€2,71",EUR 2.32,EUR,available,Lidl,milan,08/02/2026,6471027677359,
LID-00029,CP0029,ALT0029,Produce,Potatoes,Potatoes,Mulino Bianco,2,kg,1,"€1,71",,Euro,limited,Lidl,Milan,2026-01-17 13:01:00,3278774701687,private label
LID-00030,CP0030,ALT0030,Meat,Chicken,chicken breast,Chef Select,400,g,8, 5.50 ,,EUR,available,Lidl ,Milan,2026-03-16,7849912165585,limited edition
LID-00031,CP0031,ALT0031,Meat,Chicken,Chicken Thighs 500g,Chef Select,500,g,8,"€3,31",2.59,€,low stock,Lidl,MILANO,31-01-2026,5516940974993,promo shelf
LID-00032,CP0032,ALT0032,Meat,Beef,Minced Beef - Sondey,Sondey,400,g,6,EUR 6.59,,eur,available,Lidl,MILANO,26-02-2026,0283857865278,seasonal item
LID-00033,CP0033,ALT0033,Meat,Beef,Beef Steak,De Cecco,300,g,2,4.03,3.38,Euro,available,Lidl,Milan,2026-03-25,7473384842199,limited edition
LID-00034,CP0034,ALT0034,Meat,Cured Meats,Prosciutto Cotto - Milbona,Milbona,120,g,8,EUR 3.35,,Euro,,Lidl,milan,2026-03-21,1938026206724,
LID-00035,CP0035,ALT0035,Meat,Cured Meats,Salame Milano,Italiamo,100,g,3,"3,61",,EUR,OUT OF STOCK,Lidl,MILANO,08/02/2026,,imported
LID-00036,CP0036,ALT0036,Pantry,Pasta,Spaghetti - Barilla,BARILLA,500,g,,EUR 3.93,,eur,available,Lidl,milan,2026-03-24 05:14:00,,promo shelf
LID-00037,CP0037,ALT0037,Pantry,Pasta,Chef Select Penne Rigate,Chef Select,500,g,3,EUR 2.90,2.53,€,available,Lidl,MILANO,25/01/2026,9187851910883,
LID-00038,CP0038,ALT0038,Pantry,Pasta,Fusilli - Combino,COMBINO,500,g,8,EUR 3.04,2.28,EUR,available,Lidl,Milano,2026-01-26,,
LID-00039,CP0039,ALT0039,Pantry,Rice,Combino Carnaroli Rice,Combino,1,kg,1,EUR 1.86,,Euro,available,Lidl,Milan,07/02/2026,6823004786863,limited edition
LID-00040,CP0040,ALT0040,Pantry,Rice,Basmati Rice - De Cecco,De Cecco,1,,1,4.14,,EUR,available,Lidl,Milano,31-03-2026,8302843959953,
LID-00041,CP0041,ALT0041,Pantry,sauce,Tomato Passata - Freshona,Freshona,700,ml,1,EUR 2.40,,Euro,limited,Lidl,Milan,25/01/2026,4270866882634,check allergen label
LID-00042,CP0042,ALT0042,Pantry,Sauce,Pesto Genovese 190g,Combino,190,g,2,1.92,,eur,available,Lidl,milan,24/03/2026,1739363854678,
LID-00043,CP0043,ALT0043,Pantry,Oil,Extra Virgin Olive Oil,Freshona,1,l,8, 4.00 ,,Euro,OUT OF STOCK,Lidl,milan,02/04/2026,5477725228728,private label
LID-00044,CP0044,ALT0044,Pantry,Oil,Italiamo Sunflower Oil,Italiamo,1,,1, 1.87 ,,EUR,low stock,Lidl,MILANO,2026-02-06,6008484086211,
LID-00045,CP0045,ALT0045,Pantry,Flour,All Purpose Flour - Chef Select,Chef Select,1,kg,6,2.34,,EUR,in stock,Lidl,MILANO,2026-02-20,1765918033974,
LID-00046,CP0046,ALT0046,Pantry,Flour,00 Flour,Combino,1,kg,4,"3,16","€2,95",eur,low stock,Lidl,MILANO,04-02-2026,2185016315999,
LID-00047,CP0047,ALT0047,Pantry,Sugar,Cien White Sugar,Cien,1,kg,2, 3.74 ,,eur,,Lidl,milan,12/04/2026,5511047541212,private label
LID-00048,CP0048,ALT0048, Pantry,Sugar,Brown Sugar 1kg,Bellarom ,1,kg,4,"2,61",2.22,eur,OUT OF STOCK,Lidl,MILANO,13-04-2026,4715437993712,check allergen label
LID-00049,CP0049,ALT0049,Pantry,Coffee,Ground Coffee,Granarolo,250,g,8,2.67,,€,limited,Lidl,milan,25-03-2026,3564651939828,private label
LID-00050,CP0050,ALT0050,Pantry,Coffee,Coffee Beans - Parmalat,Parmalat,500,g,6,EUR 2.44,,Euro,low stock,Lidl,MILANO,2026/02/21 22:10,8911352909656,imported
LID-00051,CP0051,ALT0051,Pantry,Cereal,Corn Flakes,Chef Select,375,g,2,EUR 3.64,,EUR,OUT OF STOCK,Lidl,Milano,2026/04/17 00:51,7387571775140,imported
LID-00052,CP0052,ALT0052,Pantry,Cereal,Milbona Muesli,Milbona,750,g,1,3.38,,Euro,available,Lidl ,Milan,05-03-2026,,new
LID-00053,CP0053,ALT0053,Frozen,Pizza,Bellarom Margherita Pizza,Bellarom,350,g,4,EUR 4.65,,Euro,low stock,Lidl,milan,13/01/2026,4991251341252,private label
LID-00054,CP0054,ALT0054,Frozen,Pizza,Vegetable Pizza - W5,W5,380,g,1,3.43,,Euro,limited,Lidl,MILANO,19-02-2026,7677219034043,promo shelf
LID-00055,CP0055,ALT0055,Frozen,Vegetables,Frozen Peas 450g,Combino,450,g,1,EUR 4.56,,eur,available,Lidl,Milan,2026/03/24 22:32,1713395962923,
LID-00056,CP0056,ALT0056,Frozen,Vegetables,Frozen Spinach,Italiamo,450,g,3,EUR 3.99,3.77,€,,Lidl,Milan,2026/03/31 19:15,6729466711684,limited edition
LID-00057,CP0057,ALT0057,Frozen,Fish,Frozen Salmon Fillets 400g,Cien,400,g,1,"3,12",EUR 2.79,€,OUT OF STOCK,Lidl,milan,2026-02-20 05:52:00,5001701277063,imported
LID-00058,CP0058,ALT0058,Frozen,Fish,Fish Fingers,Combino,300,g,3,"5,08",EUR 4.39,EUR,,Lidl,Milan,2026-03-01 21:52:00,7005162713611,
LID-00059,CP0059,ALT0059,Beverages , Water ,Still Water,De Cecco,1.5,l,1,EUR 2.00,,Euro,limited,Lidl,Milano,14-04-2026,6523413899940,seasonal item
LID-00060,CP0060,ALT0060,Beverages,Water,Sparkling Water - Freshona,Freshona,1.5,l,3,1.62,,EUR,OUT OF STOCK,Lidl,Milan,2026/03/13 05:34,2710910430068,
LID-00061,CP0061,ALT0061,Beverages,JUICE,Orange Juice 1l,Mutti,1,l,1,1.47,,EUR,OUT OF STOCK,Lidl,Milan,24-04-2026,9904210202758,limited edition
LID-00062,CP0062,ALT0062,Beverages,Juice,Apple Juice - Freshona,Freshona,1,l,1,EUR 1.96,,Euro,low stock,Lidl,MILANO,2026/01/12 05:50,1913800030756,
LID-00063,CP0063,ALT0063,Beverages,Soft Drinks,Combino Cola,Combino,1.5,l,6,"€2,20",,EUR,limited,Lidl,Milano,11-03-2026,4518705349493,new
LID-00064,CP0064,ALT0064,Beverages,Soft Drinks ,Lemon Soda - Sondey,Sondey,1.5,l,1,1.68,,Euro,,Lidl,Milano,05-04-2026,0241038657191,
LID-00065,CP0065,ALT0065,Beverages,Tea,W5 Green Tea,W5,20,pcs,1,EUR 0.99,,€,limited,Lidl,Milan,14/04/2026,7756185374741,new
LID-00066,CP0066,ALT0066,Beverages,Tea,Barilla Black Tea,Barilla,25,pcs,4,EUR 2.12,"€1,86",eur,in stock,Lidl,Milan,16/04/2026,6519941013721,check allergen label
LID-00067,CP0067,ALT0067,Household,Detergent, Cien Dish Soap,Cien,750,ml,6,EUR 2.64,,eur,in stock,Lidl,Milan,08-02-2026,7014626383806,check allergen label
LID-00068,CP0068,ALT0068,Household,Detergent ,Laundry Detergent 1.5l,Cien,1.5,l,4,EUR 4.31,,€,low stock,Lidl,Milan,19/04/2026,0396522395590,check allergen label
LID-00069,CP0069,ALT0069,Household,Paper,Toilet Paper - Cien,CIEN,8,,8, 3.17 ,,eur,limited,Lidl,Milan,2026-01-04,2185156915452,promo shelf
LID-00070,CP0070,ALT0070,Household,Paper,Kitchen Towels 4pcs,W5,4,pcs,4,3.12,,Euro,low stock,Lidl ,milan,2026-01-04 04:46:00,7251355215704,new
LID-00071,CP0071,ALT0071,Household,Cleaning,Multi Surface Cleaner,Combino,750,ml,6,"€2,86",2.28,eur,limited,Lidl,Milano,2026/03/25 23:40,1526218159970,seasonal item
LID-00072,CP0072,ALT0072,Household,Cleaning,Bleach 2l,Combino,2,l,3,2.84,EUR 2.12,EUR,OUT OF STOCK,Lidl,MILANO,06/04/2026,4171467741862,limited edition
LID-00073,CP0073,ALT0073,Personal Care,Shampoo,Shampoo,W5,250,ml,3,"€2,41",,Euro,low stock,Lidl,Milano,2026-01-14 11:08:00,8793741608989,new
LID-00074,CP0074,ALT0074,Personal Care,Shampoo,Combino Conditioner,Combino,250,ml,1,,,€,OUT OF STOCK,Lidl,Milano,20-04-2026,4870998616229,new
LID-00075,CP0075,ALT0075,Personal Care,Soap,Milbona Hand Soap,Milbona,300,ml,4,"€2,61",,Euro,in stock,Lidl,milan,02-02-2026,5054447132475,check allergen label
LID-00076,CP0076,ALT0076,Personal Care,Soap,Galbani Body Wash,Galbani,500,ml,8,"3,00",,EUR,limited,Lidl,Milan,2026-01-14,5345786103579,promo shelf
LID-00077,CP0077,ALT0077,Personal Care,Toothpaste,Toothpaste,Sondey,75,ml,1,5.22,4.74,EUR,,LIDL,Milan,2026/02/14 23:46,4466574374896,limited edition
LID-00078,CP0078,ALT0078,dairy,Mozzarella,Mozzarella Premium,Italiamo,93.75,g,1, 2.24 ,,eur,limited,Lidl,Milan,2026-01-06 22:09:00,5207446660993,imported
LID-00079,CP0079,ALT0079,Dairy,Mozzarella,Mozzarella di Bufala Premium 93.75g,Sondey,93.75,g,1,"2,38",,€,,Lidl,milan,2026/04/03 00:05,5549471709991,promo shelf
LID-00080,CP0080,ALT0080,Dairy,Mozzarella,Chef Select Fior di latte mozzarella Premium,Chef Select,200,g,1, 1.85 ,,eur,in stock,Lidl,Milan,2026-03-22,3292712966667,seasonal item
LID-00081,CP0081,ALT0081,Dairy,Yogurt,Greek Yogurt Premium - Italiamo,Italiamo,170,g,2,EUR 2.89,,€,limited,Lidl,milan,2026-03-25 09:14:00,5625753260332,
LID-00082,CP0082,ALT0082,Dairy,Yogurt,Strawberry Yogurt Premium - Italiamo,Italiamo,2,pcs,6,2.45,,EUR,available,Lidl,Milano,20/02/2026,0461849926189,limited edition
LID-00083,CP0083,ALT0083,Dairy,Yogurt,Chef Select Plain Yogurt Premium, Chef Select,500,g,2,"2,27",,EUR,in stock,Lidl,Milano,15-01-2026,1811437447012,private label
LID-00084,CP0084,ALT0084,DAIRY,Milk,Whole Milk Premium,Freshona,0.75,l,1,,,€,limited,Lidl,MILANO,04-03-2026,7621202169797,
LID-00085,CP0085,ALT0085,Dairy,Milk,Semi-skimmed Milk Premium,Granarolo,1.5,l,1,2.73,,eur,,Lidl,Milano,07/03/2026,6289002877217,imported
LID-00086,CP0086,ALT0086,Dairy,Milk,LACTOSE FREE MILK PREMIUM,Mulino Bianco,0.75,l,2,EUR 2.16,,EUR,in stock,Lidl,Milano,2026-02-19,9488375503758,
LID-00087,CP0087,ALT0087,Dairy,Butter,Unsalted Butter Premium,Sondey,375.0,g,2,1.37,,eur,available,Lidl,MILANO,18/04/2026,6373516091779,
LID-00088,CP0088,ALT0088,Dairy,Butter, Salted Butter Premium 312.5g ,Combino,312.5,g,8,1.25,,€,low stock,Lidl,MILANO,13/02/2026,5472269848583,promo shelf
LID-00089,CP0089,ALT0089,Dairy,Cheese,Parmigiano Reggiano Premium,Ferrero,150.0,g,1,2.84,2.49,€,available,Lidl,Milano,2026-04-28,3424420438057,promo shelf
LID-00090,CP0090,ALT0090,Dairy,Cheese,Gorgonzola Premium - Rio Mare,Rio Mare,112.5,g,3,2.18,1.95,Euro,limited,Lidl,milan,2026-01-25 05:26:00,3472122816064,
LID-00091,CP0091,ALT0091,Dairy,Cheese,Ricotta Premium - Combino, Combino ,187.5,g,1,"€1,62",,€,in stock,Lidl,milan,2026-02-23 16:49:00,,
LID-00092,CP0092,ALT0092,Bakery,Bread,WHOLE WHEAT BREAD PREMIUM 500G,W5,500,g,4,,,€,available,Lidl,Milan,2026/04/26 02:04,1648408588770,private label
LID-00093,CP0093,ALT0093,Bakery,Bread,Ciabatta Premium,W5,300,g,1,3.21,3.01,EUR,,Lidl,Milano,2026-03-04,0248193466766,
LID-00094,CP0094,ALT0094,Bakery,Bread,Granarolo Sandwich Bread Premium,Granarolo,825.0,g,1,EUR 2.59,,Euro,available,Lidl,Milano,02/03/2026,6842450882100,
LID-00095,CP0095,ALT0095,Bakery,Croissants,W5 Butter Croissant Premium,W5,9.0,pcs,4,"2,80",,EUR,limited,Lidl,Milano,2026-01-13 06:31:00,,new
LID-00096,CP0096,ALT0096,Bakery,Croissants,Freshona Chocolate Croissant Premium,Freshona,4.5,pcs,4, 2.46 ,,€,,Lidl,milan,18/01/2026,,seasonal item
LID-00097,CP0097,ALT0097,Bakery,Cookies,Chocolate Chip Cookies Premium 450g,Sondey,450.0,g,4, 2.02 ,,eur,low stock,Lidl,Milano,2026-01-28,0996930848872,imported
LID-00098,CP0098,ALT0098,Bakery,Cookies,Digestive Biscuits Premium,Chef Select,400,g,1,"2,30","€1,82",eur,,Lidl,milan,26-04-2026,4530385677005,new
LID-00099,CP0099,ALT0099,Produce,Tomatoes,Cherry Tomatoes Premium,Mutti,750.0,g,1,"2,00",,Euro,OUT OF STOCK,Lidl,milan,2026-02-28 08:04:00,,check allergen label
LID-00100,CP0100,ALT0100,Produce,Tomatoes,Round Tomatoes Premium - Sondey,Sondey,1.25,kg,1,2.56,,Euro,,Lidl,Milan,15-02-2026,,seasonal item
LID-00101,CP0101,ALT0101,Produce,Salad,Iceberg Lettuce Premium - Aia,Aia,1,pcs,1,2.56,,€,in stock,Lidl,MILANO,10/01/2026,9292984257991,
LID-00102,CP0102,ALT0102,Produce,Salad,ROCKET SALAD PREMIUM - GRANAROLO,Granarolo,156.25,g,6,2.58,,EUR,available,Lidl,Milano,07-01-2026,5086376599162,seasonal item
LID-00103,CP0103,ALT0103,Produce,Apples,Sondey Golden Apples Premium,Sondey,1.5,,2,3.37,,Euro,OUT OF STOCK,Lidl,MILANO,2026/02/07 05:44,6959463688725,
LID-00104,CP0104,ALT0104,Produce,Apples,Pink Lady Apples Premium,Sondey,1,kg,6,"2,70",,Euro,OUT OF STOCK,Lidl,Milano,2026-04-11,2796114351906,seasonal item
LID-00105,CP0105,ALT0105,Produce,Bananas,Bananas Premium,W5,0.75,kg,,"€2,75",,eur,low stock,Lidl,Milano,2026-03-16,1465669380118,imported
LID-00106,CP0106,ALT0106,Produce,Potatoes,Potatoes Premium,Rio Mare,2,kg,8,3.23,"€3,04",€,low stock,Lidl,milan,2026-02-02 09:36:00,3577907141633,check allergen label
LID-00107,CP0107,ALT0107,Meat,Chicken,Chicken Breast Premium,W5,500.0,g,2, 3.14 ,,eur,low stock,Lidl,Milan,27/02/2026,4333395211179,limited edition
LID-00108,CP0108,ALT0108,Meat,Chicken,Rio Mare Chicken Thighs Premium,Rio Mare,500,g,3,"€4,89",,Euro,available,Lidl,Milano,26/02/2026,1875003691559,imported
LID-00109,CP0109,ALT0109,Meat,Beef,Minced Beef Premium,Combino,400,g,4,"5,38",,eur,low stock,Lidl,Milano,29/01/2026,6322702672885,seasonal item
LID-00110,CP0110,ALT0110,Meat,Beef,Beef Steak Premium,Freshona,300,g,1, 5.85 ,,€,OUT OF STOCK,Lidl,milan,10/01/2026,8245587716947,
LID-00111,CP0111,ALT0111,meat,Cured Meats,Prosciutto Cotto Premium - Combino,Combino,120,g,6, 7.60 ,,Euro,OUT OF STOCK,Lidl,MILANO,2026-03-10,3413261117800,
LID-00112,CP0112,ALT0112,Meat,Cured Meats,Bellarom Salame Milano Premium ,Bellarom,100,g,6,3.85,,€,OUT OF STOCK,Lidl,MILANO,2026/01/10 06:01,2829979688457,limited edition
LID-00113,CP0113,ALT0113,Pantry,Pasta,Spaghetti Premium 375g,Milbona,375.0,g,1,EUR 2.76, 1.94 ,eur,in stock,Lidl,Milan,10-03-2026,6634163894484,private label
LID-00114,CP0114,ALT0114,Pantry,Pasta,Penne Rigate Premium - Milbona,Milbona,375.0,g,,1.96,,€,OUT OF STOCK,Lidl,MILANO,2026-01-28,7356475705120,limited edition
LID-00115,CP0115,ALT0115,Pantry,Pasta,Granarolo Fusilli Premium,Granarolo,625.0,g,3,2.15,,eur,available,Lidl,Milano,24-02-2026,4520881474350,check allergen label
LID-00116,CP0116,ALT0116,Pantry,Rice,Chef Select Carnaroli Rice Premium,Chef Select,0.75,kg,1,2.82,"2,53",eur,available,Lidl,milan,2026-01-02,2812735857306,check allergen label
LID-00117,CP0117,ALT0117,Pantry,Rice,Basmati Rice Premium,Combino,1,kg,3,"€2,95",,eur,in stock,Lidl,MILANO,2026/03/25 15:26,8620959351863,promo shelf
LID-00118,CP0118,ALT0118,Pantry,SAUCE,Tomato Passata Premium - Sondey,Sondey,700,ml,1,2.52,,Euro,,Lidl,milan,2026-04-25 12:46:00,0371705865094,
LID-00119,CP0119,ALT0119,Pantry,Sauce,PESTO GENOVESE PREMIUM,Milbona,285.0,g,6,,3.70,Euro,,Lidl,Milano,10-04-2026,2897558556659,new
LID-00120,CP0120,ALT0120,Pantry,Oil,Extra Virgin Olive Oil Premium - Rio Mare,Rio Mare,1,l,4, 3.12 ,,EUR,OUT OF STOCK,Lidl,Milan,2026/01/12 13:59,8899210752245,imported
LID-00121,CP0121,ALT0121,Pantry,Oil,Sunflower Oil Premium - Chef Select,Chef Select,0.75,l,2,2.46,,€,in stock,Lidl,MILANO,2026/04/21 22:02,6613906048058,
LID-00122,CP0122,ALT0122,Pantry,Flour,All Purpose Flour Premium - Cien,Cien,1.25,kg,8,,,Euro,OUT OF STOCK,Lidl,MILANO,22/01/2026,3769389833146,promo shelf
LID-00123,CP0123,ALT0123,Pantry,flour, Aia 00 Flour Premium,Aia,1.5,kg,4,"€2,79",,eur,available,LIDL,Milan,2026-02-03,0392405147705,private label
LID-00124,CP0124,ALT0124,Pantry,Sugar,White Sugar Premium - Rio Mare,Rio Mare,0.75,kg,1,3.05,2.50,Euro,,Lidl,Milano,2026/03/13 02:43,0463681579812,
LID-00125,CP0125,ALT0125,Pantry,Sugar,Parmalat Brown Sugar Premium ,Parmalat,1.25,kg,1,2.48,,€,available,Lidl,Milano,01/01/2026,6216893639264,
LID-00126,CP0126,ALT0126,Pantry,Coffee,Ground Coffee Premium 187.5g,Cien,187.5,g,2,"2,22",1.85,eur,OUT OF STOCK,Lidl ,Milano,08/04/2026,5664742312209,seasonal item
LID-00127,CP0127,ALT0127,Pantry,Coffee,Coffee Beans Premium - Chef Select,Chef Select,750.0,g,1,"1,74","1,56",eur,in stock,Lidl,Milano,03/01/2026,3312797573660,promo shelf
LID-00128,CP0128,ALT0128,Pantry,Cereal,Corn Flakes Premium,W5,375,g,1,,,Euro,low stock,Lidl,Milano,07-04-2026,4726490827718,promo shelf
LID-00129,CP0129,ALT0129,Pantry,Cereal,Muesli Premium - Aia,Aia,1125.0,g,2,2.53,2.06,Euro,,Lidl,MILANO,28/01/2026,6025922220644,imported
LID-00130,CP0130,ALT0130,Frozen,Pizza,Margherita Pizza Premium,Sondey,,g,3,"€2,44",1.83,Euro,available,Lidl,Milano,2026-03-31 06:43:00,3022050209945,
LID-00131,CP0131,ALT0131,Frozen,Pizza,Italiamo Vegetable Pizza Premium,italiamo,570.0,g,1,EUR 2.64,,EUR,OUT OF STOCK,Lidl,Milano,2026-02-02 15:39:00,3390198179469,imported
LID-00132,CP0132,ALT0132,Frozen,Vegetables,Frozen Peas Premium,Freshona,450,g,8,EUR 4.05,,EUR,,Lidl,MILANO,2026/03/10 22:39,3034414488501,imported
LID-00133,CP0133,ALT0133,Frozen,Vegetables,Frozen Spinach Premium 337.5g,Cien,337.5,g,4,EUR 4.06,"€3,02",€,available,Lidl,MILANO,2026-01-03 00:57:00,5880395512405,private label
LID-00134,CP0134,ALT0134,Frozen,Fish,Frozen Salmon Fillets Premium - Bellarom,BELLAROM,300.0,g,3,"€3,32",,€,limited,Lidl,Milano,2026-01-22,0782357845218,private label
LID-00135,CP0135,ALT0135,Frozen,Fish ,Fish Fingers Premium - Combino,Combino,300,g,1,3.55,,EUR,low stock,Lidl,Milan,2026/03/21 17:48,5714224109881,
LID-00136,CP0136,ALT0136,Beverages ,Water,Still Water Premium,De Cecco,1.5,l,2,2.24,,EUR,available, Lidl,MILANO,2026-04-09 01:22:00,7954538179217,seasonal item
LID-00137,CP0137,ALT0137,Beverages,Water,Sparkling Water Premium 1.12l,Barilla,1.12,l,3,2.24,2.07,Euro,in stock,Lidl,MILANO,2026/01/13 18:42,2816158148769,private label
LID-00138,CP0138,ALT0138,Beverages,Juice,Orange Juice Premium - Chef Select,Chef Select,1,l,6,1.45,,Euro,in stock,Lidl,MILANO,21-03-2026,6191965701329,check allergen label
LID-00139,CP0139,ALT0139,Beverages,Juice,Apple Juice Premium - Italiamo,Italiamo,0.75,l,8,EUR 1.54,,€,in stock,Lidl,MILANO,2026/01/13 19:06,,new
LID-00140,CP0140,ALT0140,Beverages,Soft Drinks,Italiamo Cola Premium,Italiamo,1.88,l,3,"€2,06",,eur,,Lidl,Milan,2026/04/07 06:36,2422010276212,
LID-00141,CP0141,ALT0141,Beverages,Soft Drinks,Lemon Soda Premium 1.5l,W5,1.5,l,1,"€1,89",,Euro,,Lidl,milan,2026/03/10 06:24,,imported
LID-00142,CP0142,ALT0142,Beverages,Tea, Green Tea Premium,Lavazza,25.0,pcs,3,,1.99,€,low stock,lidl,Milano,02-03-2026,5654420949407,imported
LID-00143,CP0143,ALT0143,Beverages,Tea,Black Tea Premium,Italiamo,25,pcs,1,1.79,,EUR,low stock,Lidl,Milan,06/02/2026,3728051292766,seasonal item
LID-00144,CP0144,ALT0144, Household,Detergent,Dish Soap Premium - Parmalat,Parmalat,750,ml,3,EUR 5.27,,Euro,available,Lidl,MILANO,30-04-2026,5801856945441,
LID-00145,CP0145,ALT0145,Household,Detergent,Laundry Detergent Premium 1.5l,Aia,1.5,l,2,5.04,EUR 4.37,EUR,low stock,Lidl,MILANO,2026/03/18 16:14,0091093911192,promo shelf
LID-00146,CP0146,ALT0146,Household,Paper,Combino Toilet Paper Premium,Combino,8,pcs,1,"3,42",,EUR,OUT OF STOCK,Lidl,MILANO,2026/03/13 13:57,4271739627128,imported
LID-00147,CP0147,ALT0147, Household,Paper,Chef Select Kitchen Towels Premium,Chef Select,4,pcs,3,5.20,EUR 3.73,EUR,low stock,Lidl,MILANO,2026-03-01,0671985546015,imported
